employee_id,employee_name,department,starting_score,final_score,total_score_change,total_spent,reasonable_transactions,flagged_transactions,one_sentence_summary
E005,Daniel Kim,Marketing,80,100.0,62.0,128756.43,416,13,"13 flagged transaction(s), mostly Low risk. 0 possible irrelevant purchase(s). Total spent: $128,756.43. Final score is 100.0/100."
E004,Emma Wilson,Marketing,80,100.0,54.0,114400.93,396,11,"11 flagged transaction(s), mostly Low risk. 0 possible irrelevant purchase(s). Total spent: $114,400.93. Final score is 100.0/100."
E006,Maya Patel,Finance,80,100.0,23.0,254325.1,400,20,"20 flagged transaction(s), mostly Low risk. 0 possible irrelevant purchase(s). Total spent: $254,325.10. Final score is 100.0/100."
E009,Noah Garcia,Product,80,100.0,28.75,158381.97,395,18,"18 flagged transaction(s), mostly Low risk. 0 possible irrelevant purchase(s). Total spent: $158,381.97. Final score is 100.0/100."
E003,Alex Johnson,Product,80,90.25,58.5,127197.98,402,13,"13 flagged transaction(s), mostly Low risk. 0 possible irrelevant purchase(s). Total spent: $127,197.98. Final score is 90.25/100."
E010,Sophia Lee,Finance,80,89.5,43.25,134355.43,401,16,"16 flagged transaction(s), mostly Low risk. 0 possible irrelevant purchase(s). Total spent: $134,355.43. Final score is 89.5/100."
E008,Olivia Smith,Human Resources,80,79.5,-0.25,164813.65,403,22,"22 flagged transaction(s), mostly Low risk. 1 possible irrelevant purchase(s). Total spent: $164,813.65. Final score is 79.5/100."
E002,John Miller,Customer Success,80,79.5,26.25,165219.8,421,19,"19 flagged transaction(s), mostly Medium risk. 0 possible irrelevant purchase(s). Total spent: $165,219.80. Final score is 79.5/100."
E007,Lucas Brown,Sales,80,73.5,-6.5,144055.28,402,29,"29 flagged transaction(s), mostly Medium risk. 0 possible irrelevant purchase(s). Total spent: $144,055.28. Final score is 73.5/100."
E001,Sarah Chen,Operations,80,68.25,-11.75,120204.99,357,26,"26 flagged transaction(s), mostly Low risk. 0 possible irrelevant purchase(s). Total spent: $120,204.99. Final score is 68.25/100."
