Employee ID,Employee Name,Department,Transaction Code,Transaction Description,Transaction Category,Posting date of transaction,Transaction Date,Merchant Info DBA Name,Transaction Amount,Debit or Credit,Merchant Category Code,Merchant City,Merchant Country,Merchant Postal Code,Merchant State/Province,Conversion Rate,Amount Clean,Spend Amount,employee_total_spent,department_total_spent,merchant_median,merchant_count,merchant_q1,merchant_q3,merchant_p90,merchant_p95,merchant_iqr,mcc_median,mcc_count,mcc_q1,mcc_q3,mcc_p90,mcc_p95,mcc_iqr,global_median,global_q1,global_q3,global_p90,global_p95,global_iqr,status,flagged,flag_reason,risk_level,score_change,typical_amount,amount_ratio,baseline_used,irrelevant_keyword,score_after
E001,Sarah Chen,Operations,3001,IDOT ITAP OS OW SPRINGFILED IL,1,9/3/2025,9/2/2025,IDOT ITAP OS OW,302.92,Debit,9399.0,SPRINGFILED,USA,62764,IL,1.381820732,302.92,302.92,120204.99,153792.33,101.56,12,36.5075,137.0825,191.33,241.63349999999994,100.57500000000002,64.0,1785.0,30.16,198.21,516.5320000000003,729.6959999999999,168.05,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Flagged,True,"Amount is 3.0x higher than the typical $101.56, based on same merchant.",Low,-1.0,101.56,2.98,same merchant,,79.25
E006,Maya Patel,Finance,3001,MNA*MICHELIN CANADA 877-724-2835 QC,1,9/4/2025,9/3/2025,MNA*MICHELIN CANADA,51182.84,Debit,5532.0,877-724-2835,CAN,H7T 2P6,QC,0.0,51182.84,51182.84,254325.1,258313.59,39053.81,5,32238.67,51182.84,53696.612,54534.536,18944.17,2192.15,11.0,84.28,35646.24,51182.84,53277.649999999994,35561.96,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Flagged,True,"Amount is 443.7x higher than the typical $115.36, based on all transactions.",Severe,-10.0,115.36,443.68,all transactions,,70.0
E009,Noah Garcia,Sales,3001,MI SUPERLOAD WINNIPEG MB,1,9/5/2025,9/4/2025,MI SUPERLOAD,787.75,Debit,8220.0,WINNIPEG,CAN,R3H0C4,MB,0.0,787.75,787.75,158381.97,172423.22,110.5,16,59.699999999999996,180.53,261.445,419.09499999999997,120.83000000000001,112.81,17.0,62.8,172.57,254.49200000000002,394.51799999999963,109.77,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Flagged,True,"Amount is 7.1x higher than the typical $110.50, based on same merchant.",Severe,-10.0,110.5,7.13,same merchant,,71.25
E002,John Miller,Human Resources,3001,BC PERMIT CENTRE VICTORIA BC,1,9/8/2025,9/4/2025,BC PERMIT CENTRE,209.0,Debit,9399.0,VICTORIA,CAN,V8W9T5,BC,0.0,209.0,209.0,165219.8,154899.96,30.0,47,30.0,59.0,130.6,184.8999999999998,29.0,64.0,1785.0,30.16,198.21,516.5320000000003,729.6959999999999,168.05,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Flagged,True,"Amount is 7.0x higher than the typical $30.00, based on same merchant.",Medium,-3.0,30.0,6.97,same merchant,,79.5
E007,Lucas Brown,Sales,3001,SUNCO COMMUNICATION AN EDMONTON AB,1,9/8/2025,9/6/2025,SUNCO COMMUNICATION AN,4971.0,Debit,5045.0,EDMONTON,CAN,T5S 2X4,AB,0.0,4971.0,4971.0,144055.28,172423.22,5009.03,3,4990.014999999999,5009.03,5009.03,5009.03,19.015000000000327,5009.03,3.0,4990.014999999999,5009.03,5009.03,5009.03,19.015000000000327,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Flagged,True,"Amount is 43.1x higher than the typical $115.36, based on all transactions.",Severe,-10.0,115.36,43.09,all transactions,,71.5
E004,Emma Wilson,Human Resources,3001,CCD ORION FEE SALEM OR,1,9/9/2025,9/8/2025,CCD ORION FEE,12.38,Debit,9399.0,SALEM,USA,973015397,OR,1.385321101,12.38,12.38,114400.93,154899.96,2.7550000000000003,10,0.27,7.949999999999999,10.570999999999998,11.475499999999998,7.68,64.0,1785.0,30.16,198.21,516.5320000000003,729.6959999999999,168.05,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Flagged,True,"Amount is 4.5x higher than the typical $2.76, based on same merchant.",Low,-1.0,2.76,4.49,same merchant,,82.75
E007,Lucas Brown,Product,3001,VCN*IDAHODOT BOISE ID,1,9/10/2025,9/9/2025,VCN*IDAHODOT,247.55,Debit,9399.0,BOISE,USA,83703,ID,1.384805046,247.55,247.55,144055.28,130828.39,86.99,47,64.055,131.06,202.62999999999997,239.34499999999989,67.005,64.0,1785.0,30.16,198.21,516.5320000000003,729.6959999999999,168.05,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Flagged,True,"Amount is 2.8x higher than the typical $86.99, based on same merchant.",Low,-1.0,86.99,2.85,same merchant,,71.0
E010,Sophia Lee,Human Resources,3001,AMZN Mktp CA*IH9VH1PN3 866-216-1072 ON,1,9/10/2025,9/10/2025,AMZN Mktp CA*IH9VH1PN3,318.42,Debit,4816.0,866-216-1072,CAN,M5J 2T3,ON,0.0,318.42,318.42,134355.43,154899.96,318.42,1,318.42,318.42,318.42,318.42,0.0,39.33,106.0,24.557499999999997,96.14750000000001,157.495,437.7975,71.59,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Flagged,True,"Amount is 8.1x higher than the typical $39.33, based on same merchant category.",Medium,-3.0,39.33,8.1,same merchant category,,79.25
E007,Lucas Brown,Sales,3001,RELIABLE PERMIT SOLUTI TARZANA CA,1,9/19/2025,9/18/2025,RELIABLE PERMIT SOLUTI,607.05,Debit,7399.0,TARZANA,USA,91356,CA,1.377302326,607.05,607.05,144055.28,172423.22,143.92,15,72.555,148.14999999999998,424.8299999999998,607.05,75.59499999999997,147.63,29.0,118.48,523.92,543.918,583.5059999999999,405.43999999999994,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Flagged,True,"Amount is 4.2x higher than the typical $143.92, based on same merchant.",Medium,-3.0,143.92,4.22,same merchant,,71.75
E007,Lucas Brown,Engineering,3001,AMZN Mktp CA*CY9YY8D73 866-216-1072 ON,1,9/19/2025,9/19/2025,AMZN Mktp CA*CY9YY8D73,206.38,Debit,4816.0,866-216-1072,CAN,M5J 2T3,ON,0.0,206.38,206.38,144055.28,268268.41,206.38,1,206.38,206.38,206.38,206.38,0.0,39.33,106.0,24.557499999999997,96.14750000000001,157.495,437.7975,71.59,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Flagged,True,"Amount is 5.2x higher than the typical $39.33, based on same merchant category.",Low,-1.0,39.33,5.25,same merchant category,,70.75
