Employee ID,Employee Name,Department,Transaction Code,Transaction Description,Transaction Category,Posting date of transaction,Transaction Date,Merchant Info DBA Name,Transaction Amount,Debit or Credit,Merchant Category Code,Merchant City,Merchant Country,Merchant Postal Code,Merchant State/Province,Conversion Rate
E002,John Miller,Customer Success,3001,FEDEX268575826 T1800 4633339 ON,1,9/3/2025,9/2/2025,FEDEX268575826,23.98,Debit,4215.0,T1800 4633339,CAN,L4W 5K6,ON,0.0
E001,Sarah Chen,Operations,3001,CAT SCALE COMPANY 5632846263 IA,1,9/3/2025,9/2/2025,CAT SCALE COMPANY,20.89,Debit,5046.0,5632846263,USA,52773,IA,1.381694915
E005,Daniel Kim,Marketing,3001,LOVE'S #0687 INSIDE SOUTH JACKSON IL,1,9/3/2025,9/2/2025,LOVE'S #0687 INSIDE,1179.09,Debit,5541.0,SOUTH JACKSON,USA,62650,IL,1.376503249
E004,Emma Wilson,Marketing,3001,TDOT OSOW PERMITS NASHVILLE TN,1,9/3/2025,9/2/2025,TDOT OSOW PERMITS,255.49,Debit,9399.0,NASHVILLE,USA,37243,TN,1.376518666
E004,Emma Wilson,Engineering,3001,SERVICE FEE FRANKLIN TN,1,9/3/2025,9/2/2025,SERVICE FEE,6.01,Debit,9399.0,FRANKLIN,USA,37067,TN,1.375586854
E003,Alex Johnson,Product,3001,KINGPIN TRAILERS LTD EDMONTON AB,1,9/3/2025,9/2/2025,KINGPIN TRAILERS LTD,103.2,Debit,5561.0,EDMONTON,CAN,T5V 1A1,AB,0.0
E002,John Miller,Product,3001,MCSD OSOW INDIANAPOLIS IN,1,9/3/2025,9/2/2025,MCSD OSOW,91.78,Debit,9399.0,INDIANAPOLIS,USA,46241,IN,1.381790123
E009,Noah Garcia,Product,3001,WWW COSTCO CA 888-426-7826 ON,1,9/3/2025,9/2/2025,WWW COSTCO CA,38.84,Debit,5300.0,888-426-7826,CAN,K2E 1C5,ON,0.0
E002,John Miller,Customer Success,3001,LOVE'S #0340 INSIDE LAS VEGAS NV,1,9/3/2025,9/2/2025,LOVE'S #0340 INSIDE,454.68,Debit,5541.0,LAS VEGAS,USA,89165,NV,1.381814217
E010,Sophia Lee,Finance,3001,KYTC MOTOR CARRIERS FRANKFORT KY,1,9/3/2025,9/2/2025,KYTC MOTOR CARRIERS,88.38,Debit,9399.0,FRANKFORT,USA,40601,KY,1.381730769
E007,Lucas Brown,Sales,3001,VCN*NORTHCAROLINADOT GARNER NC,1,9/3/2025,9/2/2025,VCN*NORTHCAROLINADOT,42.33,Debit,9399.0,GARNER,USA,27529,NC,1.376666667
E001,Sarah Chen,Operations,3001,IDOT ITAP OS OW SPRINGFILED IL,1,9/3/2025,9/2/2025,IDOT ITAP OS OW,302.92,Debit,9399.0,SPRINGFILED,USA,62764,IL,1.381820732
E001,Sarah Chen,Finance,3001,LOVE'S #0874 INSIDE LAFAYETTE IN,1,9/3/2025,9/2/2025,LOVE'S #0874 INSIDE,20.89,Debit,5541.0,LAFAYETTE,USA,47905,IN,1.381694915
E002,John Miller,Product,3001,LOVE'S TIRE CARE #0374 BARSTOW CA,1,9/3/2025,9/2/2025,LOVE'S TIRE CARE #0374,94.31,Debit,7538.0,BARSTOW,USA,92311,CA,1.381739
E004,Emma Wilson,Engineering,3001,LOVE'S #0687 INSIDE SOUTH JACKSON IL,1,9/3/2025,9/2/2025,LOVE'S #0687 INSIDE,77.83,Debit,5541.0,SOUTH JACKSON,USA,62650,IL,1.376540972
E004,Emma Wilson,Engineering,3001,NV DOT-PERMITS CARSON CITY NV,1,9/3/2025,9/2/2025,NV DOT-PERMITS,35.27,Debit,9399.0,CARSON CITY,USA,98712,NV,1.3764
E009,Noah Garcia,Customer Success,3001,RELIABLE PERMIT SOLUTI TARZANA CA,1,9/3/2025,9/2/2025,RELIABLE PERMIT SOLUTI,71.96,Debit,7399.0,TARZANA,USA,91356,CA,1.376470588
E010,Sophia Lee,Marketing,3001,VA DMV HAULING PERMITS RICHMOND VA,1,9/3/2025,9/2/2025,VA DMV HAULING PERMITS,90.48,Debit,9399.0,RICHMOND,USA,232202051,VA,1.376422891
E001,Sarah Chen,Engineering,3001,COFFEE CUP #8 VIVIAN SD,1,9/3/2025,9/2/2025,COFFEE CUP #8,774.35,Debit,5541.0,VIVIAN,USA,57576,SD,1.381804214
E009,Noah Garcia,Human Resources,3001,IA DOT MOTOR CARRIER S ANKENY IA,1,9/4/2025,9/2/2025,IA DOT MOTOR CARRIER S,51.7,Debit,9399.0,ANKENY,USA,50021,IA,1.381917808
E004,Emma Wilson,Operations,3001,FLYING J 663 WADDY KY,1,9/4/2025,9/2/2025,FLYING J 663,790.43,Debit,5541.0,WADDY,USA,40076,KY,1.381791141
E009,Noah Garcia,Customer Success,3001,IDOT ITAP OS OW SPRINGFILED IL,1,9/4/2025,9/3/2025,IDOT ITAP OS OW,119.48,Debit,9399.0,SPRINGFILED,USA,62764,IL,1.381816027
E007,Lucas Brown,Marketing,3001,L OCA GIFTCARD VANCOUVER BC,1,9/4/2025,9/2/2025,L OCA GIFTCARD,75.0,Debit,5947.0,VANCOUVER,CAN,V6B2M1,BC,0.0
E004,Emma Wilson,Customer Success,3001,Amazon.ca*BF6C21X53 866-216-1072 ON,1,9/4/2025,9/4/2025,Amazon.ca*BF6C21X53,10.99,Debit,4816.0,866-216-1072,CAN,M5J 2T3,ON,0.0
E008,Olivia Smith,Human Resources,3001,PILOT 4619 WYTHEVILLE VA,1,9/4/2025,9/2/2025,PILOT 4619,71.29,Debit,5541.0,WYTHEVILLE,USA,24382,VA,1.376410053
E010,Sophia Lee,Customer Success,3001,MNDOT OSOW PERMITS SAINT PAUL MN,1,9/4/2025,9/3/2025,MNDOT OSOW PERMITS,164.93,Debit,9399.0,SAINT PAUL,USA,551551800,MN,1.381794762
E005,Daniel Kim,Sales,3001,MCSD OSOW - CONV. FEE NASHVILLE TN,1,9/4/2025,9/2/2025,MCSD OSOW - CONV. FEE,3.82,Debit,9399.0,NASHVILLE,USA,37215,TN,1.381481481
E001,Sarah Chen,Product,3001,IOWA 80 TRUCKSTOP WALCOTT IA,1,9/4/2025,9/3/2025,IOWA 80 TRUCKSTOP,189.37,Debit,5541.0,WALCOTT,USA,52773,IA,1.381101891
E003,Alex Johnson,Operations,3001,MCSD OSOW INDIANAPOLIS IN,1,9/4/2025,9/3/2025,MCSD OSOW,205.93,Debit,9399.0,INDIANAPOLIS,USA,46241,IN,1.381774415
E007,Lucas Brown,Marketing,3001,BC PERMIT CENTRE VICTORIA BC,1,9/4/2025,9/2/2025,BC PERMIT CENTRE,30.0,Debit,9399.0,VICTORIA,CAN,V8W9T5,BC,0.0
E006,Maya Patel,Finance,3001,MNA*MICHELIN CANADA 877-724-2835 QC,1,9/4/2025,9/3/2025,MNA*MICHELIN CANADA,51182.84,Debit,5532.0,877-724-2835,CAN,H7T 2P6,QC,0.0
E005,Daniel Kim,Customer Success,3001,SP KENT AUTOMOTIVE PRO CHICAGO IL,1,9/4/2025,9/3/2025,SP KENT AUTOMOTIVE PRO,90.41,Debit,5533.0,CHICAGO,USA,60631,IL,0.0
E003,Alex Johnson,Finance,3001,MNDOT OSOW PERMITS FEE ATLANTA GA,1,9/4/2025,9/3/2025,MNDOT OSOW PERMITS FEE,3.54,Debit,9399.0,ATLANTA,USA,303285588,GA,1.38
E004,Emma Wilson,Operations,3001,Campbell Park Carwash ST. ALBERT AB,1,9/4/2025,9/2/2025,Campbell Park Carwash,22.0,Debit,7542.0,ST. ALBERT,CAN,T8N6P6,AB,0.0
E006,Maya Patel,Human Resources,3001,IA DOT MOTOR CARRIER S ANKENY IA,1,9/4/2025,9/3/2025,IA DOT MOTOR CARRIER S,51.7,Debit,9399.0,ANKENY,USA,50021,IA,1.381917808
E002,John Miller,Engineering,3001,PZG**MT DEPT TRANSPORT HELENA MT,1,9/4/2025,9/3/2025,PZG**MT DEPT TRANSPORT,247.34,Debit,9399.0,HELENA,USA,59601,MT,1.381124084
E002,John Miller,Marketing,3001,VCN*IDAHODOT BOISE ID,1,9/4/2025,9/3/2025,VCN*IDAHODOT,115.36,Debit,9399.0,BOISE,USA,83703,ID,1.381829343
