Employee ID,Employee Name,Department,Transaction Code,Transaction Description,Transaction Category,Posting date of transaction,Transaction Date,Merchant Info DBA Name,Transaction Amount,Debit or Credit,Merchant Category Code,Merchant City,Merchant Country,Merchant Postal Code,Merchant State/Province,Conversion Rate,Amount Clean,Spend Amount,employee_total_spent,department_total_spent,merchant_median,merchant_count,merchant_q1,merchant_q3,merchant_p90,merchant_p95,merchant_iqr,mcc_median,mcc_count,mcc_q1,mcc_q3,mcc_p90,mcc_p95,mcc_iqr,global_median,global_q1,global_q3,global_p90,global_p95,global_iqr,status,flagged,flag_reason,risk_level,score_change,typical_amount,amount_ratio,baseline_used,irrelevant_keyword,score_after
E002,John Miller,Customer Success,3001,FEDEX268575826 T1800 4633339 ON,1,9/3/2025,9/2/2025,FEDEX268575826,23.98,Debit,4215.0,T1800 4633339,CAN,L4W 5K6,ON,0.0,23.98,23.98,165219.8,183167.22,23.98,1,23.98,23.98,23.98,23.98,0.0,53.94499999999999,12.0,32.2825,96.4075,210.26500000000004,230.1125,64.125,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Normal,False,Reasonable expense. Score increased slightly.,None,0.25,115.36,0.21,all transactions,,80.25
E001,Sarah Chen,Operations,3001,CAT SCALE COMPANY 5632846263 IA,1,9/3/2025,9/2/2025,CAT SCALE COMPANY,20.89,Debit,5046.0,5632846263,USA,52773,IA,1.381694915,20.89,20.89,120204.99,153792.33,20.855,66,20.7125,21.04,21.24,21.3325,0.32750000000000057,20.87,70.0,20.724999999999998,21.135,21.724000000000004,25.319,0.4100000000000037,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Normal,False,Reasonable expense. Score increased slightly.,None,0.25,20.86,1.0,same merchant,,80.25
E005,Daniel Kim,Marketing,3001,LOVE'S #0687 INSIDE SOUTH JACKSON IL,1,9/3/2025,9/2/2025,LOVE'S #0687 INSIDE,1179.09,Debit,5541.0,SOUTH JACKSON,USA,62650,IL,1.376503249,1179.09,1179.09,128756.43,190018.44,301.69,3,189.76,740.39,1003.61,1091.35,550.63,567.37,1251.0,77.125,842.9200000000001,1062.47,1172.1,765.7950000000001,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Normal,False,Reasonable expense. Score increased slightly.,None,0.25,567.37,2.08,same merchant category,,80.25
E004,Emma Wilson,Marketing,3001,TDOT OSOW PERMITS NASHVILLE TN,1,9/3/2025,9/2/2025,TDOT OSOW PERMITS,255.49,Debit,9399.0,NASHVILLE,USA,37243,TN,1.376518666,255.49,255.49,114400.93,190018.44,291.37,32,205.6875,343.455,665.0500000000004,1034.4595,137.76749999999998,64.0,1785.0,30.16,198.21,516.5320000000003,729.6959999999999,168.05,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Normal,False,Reasonable expense. Score increased slightly.,None,0.25,291.37,0.88,same merchant,,80.25
E004,Emma Wilson,Engineering,3001,SERVICE FEE FRANKLIN TN,1,9/3/2025,9/2/2025,SERVICE FEE,6.01,Debit,9399.0,FRANKLIN,USA,37067,TN,1.375586854,6.01,6.01,114400.93,268268.41,6.85,32,4.83,8.07,15.629000000000012,24.31,3.24,64.0,1785.0,30.16,198.21,516.5320000000003,729.6959999999999,168.05,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Normal,False,Reasonable expense. Score increased slightly.,None,0.25,6.85,0.88,same merchant,,80.5
E003,Alex Johnson,Product,3001,KINGPIN TRAILERS LTD EDMONTON AB,1,9/3/2025,9/2/2025,KINGPIN TRAILERS LTD,103.2,Debit,5561.0,EDMONTON,CAN,T5V 1A1,AB,0.0,103.2,103.2,127197.98,130828.39,103.2,1,103.2,103.2,103.2,103.2,0.0,260.25,11.0,70.39,986.86,2075.37,2192.16,916.47,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Normal,False,Reasonable expense. Score increased slightly.,None,0.25,115.36,0.89,all transactions,,80.25
E002,John Miller,Product,3001,MCSD OSOW INDIANAPOLIS IN,1,9/3/2025,9/2/2025,MCSD OSOW,91.78,Debit,9399.0,INDIANAPOLIS,USA,46241,IN,1.381790123,91.78,91.78,165219.8,130828.39,190.44,40,123.3375,198.4925,221.54000000000013,320.12799999999993,75.155,64.0,1785.0,30.16,198.21,516.5320000000003,729.6959999999999,168.05,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Normal,False,Reasonable expense. Score increased slightly.,None,0.25,190.44,0.48,same merchant,,80.5
E009,Noah Garcia,Product,3001,WWW COSTCO CA 888-426-7826 ON,1,9/3/2025,9/2/2025,WWW COSTCO CA,38.84,Debit,5300.0,888-426-7826,CAN,K2E 1C5,ON,0.0,38.84,38.84,158381.97,130828.39,41.99,7,40.415000000000006,59.31,91.986,103.50299999999997,18.894999999999996,59.31,16.0,39.695,255.26,280.24,297.76750000000004,215.565,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Normal,False,Reasonable expense. Score increased slightly.,None,0.25,115.36,0.34,all transactions,,80.25
E002,John Miller,Customer Success,3001,LOVE'S #0340 INSIDE LAS VEGAS NV,1,9/3/2025,9/2/2025,LOVE'S #0340 INSIDE,454.68,Debit,5541.0,LAS VEGAS,USA,89165,NV,1.381814217,454.68,454.68,165219.8,183167.22,654.48,2,554.58,754.38,814.3199999999999,834.3,199.79999999999995,567.37,1251.0,77.125,842.9200000000001,1062.47,1172.1,765.7950000000001,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Normal,False,Reasonable expense. Score increased slightly.,None,0.25,567.37,0.8,same merchant category,,80.75
E010,Sophia Lee,Finance,3001,KYTC MOTOR CARRIERS FRANKFORT KY,1,9/3/2025,9/2/2025,KYTC MOTOR CARRIERS,88.38,Debit,9399.0,FRANKFORT,USA,40601,KY,1.381730769,88.38,88.38,134355.43,258313.59,88.27,34,87.725,88.69749999999999,89.881,90.0785,0.9724999999999966,64.0,1785.0,30.16,198.21,516.5320000000003,729.6959999999999,168.05,115.36,35.69,490.205,870.0999999999998,1104.039999999999,454.515,Normal,False,Reasonable expense. Score increased slightly.,None,0.25,88.27,1.0,same merchant,,80.25
